Date,Total Cases,Total Death
01 Apr 21,101732,4841
31 Mar 21,101710,4841
30 Mar 21,101692,4841
29 Mar 21,101676,4841
28 Mar 21,101663,4841
27 Mar 21,101646,4841
26 Mar 21,101623,4840
25 Mar 21,101603,4840
24 Mar 21,101582,4839
23 Mar 21,101560,4839
22 Mar 21,101533,4839
21 Mar 21,101518,4839
20 Mar 21,101498,4839
19 Mar 21,101481,4839
18 Mar 21,101460,4839
17 Mar 21,101443,4839
16 Mar 21,101421,4839
15 Mar 21,101378,4839
14 Mar 21,101349,4839
13 Mar 21,101292,4839
12 Mar 21,101225,4839
11 Mar 21,101194,4838
10 Mar 21,101175,4838
09 Mar 21,101149,4838
08 Mar 21,101132,4838
07 Mar 21,101097,4838
06 Mar 21,101076,4837
05 Mar 21,101055,4837
04 Mar 21,101037,4836
03 Mar 21,101013,4836
02 Mar 21,100990,4836
01 Mar 21,100965,4835
28 Feb 21,100924,4834
27 Feb 21,100886,4834
26 Feb 21,100851,4834
25 Feb 21,100832,4833
24 Feb 21,100808,4833
23 Feb 21,100784,4833
22 Feb 21,100758,4833
21 Feb 21,100727,4833
20 Feb 21,100705,4833
19 Feb 21,100684,4833
18 Feb 21,100666,4831
17 Feb 21,100639,4830
16 Feb 21,100624,4829
15 Feb 21,100599,4829
14 Feb 21,100578,4829
13 Feb 21,100559,4828
12 Feb 21,100527,4827
11 Feb 21,100494,4824
10 Feb 21,100475,4823
09 Feb 21,100435,4822
08 Feb 21,100389,4822
07 Feb 21,100348,4822
06 Feb 21,100318,4822
05 Feb 21,100268,4822
04 Feb 21,100226,4821
03 Feb 21,100177,4819
02 Feb 21,100127,4818
01 Feb 21,100063,4817
31 Jan 21,99968,4814
30 Jan 21,99848,4814
29 Jan 21,99746,4813
28 Jan 21,99655,4810
27 Jan 21,99541,4809
26 Jan 21,99402,4807
25 Jan 21,99247,4804
24 Jan 21,99047,4803
23 Jan 21,98886,4802
22 Jan 21,98725,4802
21 Jan 21,98544,4801
